id,question,Engineering,IT,Medical,Commerce
1,I enjoy solving logical problems,5,4,2,2
2,I like writing computer programs,3,5,2,1
3,Debugging code excites me,4,5,1,1
4,I enjoy learning new programming languages,3,5,1,1
5,I like building applications,4,5,1,2
6,I like analyzing data to find patterns,3,5,2,3
7,Statistics interests me,2,5,2,3
8,I enjoy working with numbers,3,4,2,4
9,I want to work with AI or ML,2,5,1,1
10,I enjoy data visualization,2,5,1,1
11,I enjoy designing user interfaces,2,5,1,1
12,I like creative visual work,1,4,1,2
13,I enjoy working with colors and layouts,1,5,1,1
14,I like building websites,2,5,1,1
15,I enjoy improving user experience,1,5,1,1
16,I am interested in cybersecurity,2,5,1,1
17,I like protecting systems from attacks,2,5,1,1
18,I enjoy learning about computer networks,3,5,1,1
19,I want to work in ethical hacking,2,5,1,1
20,I am curious about system vulnerabilities,2,5,1,1
21,I enjoy building machines,5,3,1,1
22,I like understanding how engines work,5,3,1,1
23,I enjoy working with electrical circuits,5,3,1,1
24,I like electronics projects,5,3,1,1
25,I enjoy physics-based problem solving,5,3,1,1
26,I like managing people and tasks,2,2,2,5
27,I enjoy planning and organizing work,2,2,2,5
28,I like leadership roles,3,3,2,5
29,I enjoy decision making,2,2,2,5
30,I want to run my own business,2,2,1,5
31,I enjoy working with accounts,1,1,1,5
32,I like managing finances,1,2,1,5
33,I am interested in stock markets,1,2,1,5
34,I like auditing work,1,1,1,5
35,I enjoy budgeting and cost control,1,1,1,5
36,I enjoy content creation,1,2,1,3
37,I like storytelling,1,1,1,3
38,I enjoy social media work,1,2,1,3
39,I enjoy video editing,1,2,1,2
40,I like photography,1,2,1,2
41,I enjoy teaching others,2,2,3,2
42,I like explaining concepts,2,2,3,2
43,I enjoy mentoring students,2,2,3,2
44,I enjoy academic research,3,3,4,2
45,I like continuous learning,3,3,3,2
46,I want to help people medically,1,1,5,1
47,I am interested in human biology,1,1,5,1
48,I enjoy caring for patients,1,1,5,1
49,I am interested in pharmacy,1,1,5,1
50,I like medical research,2,2,5,1
51,I enjoy designing buildings,5,2,1,2
52,I like construction planning,5,2,1,2
